id,sex,year,week,date,sample_county,north,east,survey_county,m_north,m_east
BI080124,Hane,2012,37,2012-09-10,Dalarnas län,6761700,515789,Dalarnas län,6761700,515789
BI080068,Hona,2012,37,2012-09-10,Dalarnas län,6796831,500005,Dalarnas län,6794924.4,499206.4
BI080027,Hona,2012,37,2012-09-10,Dalarnas län,6761151,495583,Dalarnas län,6758503.666666667,500060.55555555556
BI080029,Hona,2012,37,2012-09-11,Dalarnas län,6739045,461862,Dalarnas län,6738549.416666667,452759
BI080125,Hane,2012,36,2012-09-09,Värmlands län,6763679,359914,Värmlands län,6763679,359914
BI080126,Hane,2012,37,2012-09-12,Dalarnas län,6790044,461658,Dalarnas län,6786337.75,461361.5
BI080030,Hona,2012,34,2012-08-22,Dalarnas län,6771473,377570,Dalarnas län,6763681,407190.9
BI080068,Hona,2012,40,2012-10-06,Dalarnas län,6791306,499765,Dalarnas län,6794924.4,499206.4
BI080049,Hane,2012,37,2012-09-11,Dalarnas län,6707424,483597,Dalarnas län,6716718.363636363,476865.45454545453
BI080054,Hona,2012,37,2012-09-10,Dalarnas län,6812195,410027,Dalarnas län,6812195,410027
BI080052,Hane,2012,37,2012-09-12,Dalarnas län,6742221,470843,Dalarnas län,6751125.5,472511.875
BI080113,Hona,2012,37,2012-09-12,Dalarnas län,6781415,443492,Dalarnas län,6781415,443492
BI080032,Hona,2012,36,2012-09-08,Dalarnas län,6874585,392849,Dalarnas län,6872334.333333333,394472
BI040864,Hona,2012,37,2012-09-12,Dalarnas län,6819155,404128,Dalarnas län,6824918.625,408008.25
BI080016,Hona,2012,40,2012-10-06,Dalarnas län,6876979,391661,Dalarnas län,6871298.8,386247.8
BI400237,Hane,2012,36,2012-09-08,Dalarnas län,6873548,393680,Dalarnas län,6872917.75,396739.75
BI080024,Hona,2012,36,2012-09-09,Dalarnas län,6765076,528232,Dalarnas län,6764578.857142857,530329.8571428572
BI080075,Hane,2012,37,2012-09-12,Dalarnas län,6719652,506353,Dalarnas län,6717643.285714285,509990.78571428574
BI040643,Hona,2012,37,2012-09-11,Dalarnas län,6867706,393869,Dalarnas län,6861991.25,398747
BI401082,Hona,2012,37,2012-09-11,Dalarnas län,6874571,365375,Dalarnas län,6870877.888888889,367229.22222222225
